id,provinsi,jenis,nama_pariwisata,latitude,longitude,lebar,tinggi,kemiringan
346,BALI,KSPN,KSPN Karangasem-Amuk dan sekitarnya,-8.510406786,115.5226135,3500,6000,115
347,BALI,KSPN,KSPN Ubud dan sekitarnya,-8.543005321,115.1998901,13000,25000,160
348,BALI,KSPN,KSPN Kuta-Sanur-Nusa Dua dan sekitarnya,-8.787375972,115.1641846,9000,14000,130
356,BALI,KSPN,KSPN Kerinci Seblat dan sekitarnya,-2.004595795,101.2939453,39000,21000,160
357,BALI,KSPN,KSPN Tulamben-Amed dan sekitarnya,-8.310700316,115.6159973,8000,6000,-45
292,BANTEN,KSPN,KSPN Toba dan sekitarnya,2.60835151,98.80554199,55000,28000,140
325,BENGKULU,KSPN,KSPN Pagaralam dan sekitarnya,-4.050576786,103.3154297,32000,17000,50
282,DI YOGYAKARTA,KSPN,KSPN Morotai dan sekitarnya,2.333948986,128.4082031,46000,38000,160
283,DI YOGYAKARTA,KSPN,KSPN Karst Gunung Kidul dan sekitarnya,-8.070107304,110.5622864,23000,10000,110
284,DI YOGYAKARTA,KSPN,KSPN Pantai Selatan Yogyakarta dan sekitarnya,-7.966757603,110.1681519,20000,5500,110
285,DI YOGYAKARTA,KSPN,KSPN Yogyakarta Kota dan sekitarnya,-7.877665529,110.3205872,10000,5500,195
286,DI YOGYAKARTA,KSPN,KSPN Prambanan-Kalasan dan sekitarnya,-7.79535734,110.4373169,9000,5000,165
287,DI YOGYAKARTA,KSPN,KSPN Merapi-Merbabu dan sekitarnya,-7.513619445,110.4222107,17000,10000,195
273,DKI JAKARTA,KSPN,KSPN Palembang Kota dan sekitarnya,-2.970470166,104.7766113,45000,30000,40
274,DKI JAKARTA,KSPN,KSPN Kepulauan Seribu dan sekitarnya,-5.837348512,106.5962219,28000,10000,155
309,GORONTALO,KSPN,KSPN Togean-Tomini dan sekitarnya,-0.340574166,121.9042969,60000,34000,90
317,JAMBI,KSPN,KSPN Bukittinggi dan sekitarnya,-0.304888277,100.3793335,20000,9000,20
320,JAMBI,KSPN,KSPN Rupat-Bengkalis dan sekitarnya,1.738281647,101.8157959,65000,25000,-50
329,JAWA BARAT,KSPN,KSPN Way Kambas dan sekitarnya,-4.926778628,105.7763672,35000,22000,40
330,JAWA BARAT,KSPN,KSPN Gunung Halimun dan sekitarnya,-6.702798381,106.5206909,10000,6000,-50
331,JAWA BARAT,KSPN,KSPN Puncak-Gede Pangrango dan sekitarnya,-6.760080928,106.9525909,13000,8000,40
332,JAWA BARAT,KSPN,KSPN Bandung Kota dan sekitarnya,-6.925067446,107.5382996,10000,4000,70
333,JAWA BARAT,KSPN,KSPN Tangkuban Perahu dan sekitarnya,-6.752579317,107.5767517,10000,4000,60
334,JAWA BARAT,KSPN,KSPN Ciwidey dan sekitarnya,-7.083180353,107.4284363,12000,7000,90
288,JAWA TENGAH,KSPN,KSPN Borobudur-Mendut-Pawon dan sekitarnya,-7.523149838,110.2120972,17000,10000,145
335,JAWA TENGAH,KSPN,KSPN Pangandaran dan sekitarnya,-7.69738658,108.5531616,11000,6000,70
270,JAWA TIMUR,KSPN,Bromo - Tengger - Semeru,-8.021155457,112.9518127,30000,16000,50
336,JAWA TIMUR,KSPN,KSPN Karimunjawa dan sekitarnya,-5.818225684,110.3796387,25000,15000,-70
337,JAWA TIMUR,KSPN,KSPN Sangiran dan sekitarnya,-7.384261694,110.9440613,15000,7000,120
338,JAWA TIMUR,KSPN,KSPN Karst Pacitan dan sekitarnya,-8.138089996,110.9550476,20000,12000,110
293,KALIMANTAN BARAT,KSPN,KSPN Ujung Kulon dan sekitarnya,-6.689159146,105.4275513,48000,23000,80
294,KALIMANTAN BARAT,KSPN,KSPN Sentarum dan sekitarnya,0.93242344,112.0756531,35000,25000,135
296,KALIMANTAN TENGAH,KSPN,KSPN Siberut dan sekitarnya,-1.502208236,99.02526855,60000,25000,148
297,KALIMANTAN TIMUR,KSPN,KSPN Tanjung Puting dan sekitarnya ,-2.767477951,111.8023682,99000,59000,190
315,KALIMANTAN TIMUR,KSPN,KSPN Kayan Mentarang dan sekitarnya,2.825087494,116.1804199,90000,56000,70
314,KALIMANTAN UTARA,KSPN,KSPN Kota Bangun-Tanjung Isuy dan sekitarnya,-0.351560294,116.3150024,20000,28000,130
271,KEPULAUAN BANGKA BELITUNG,KSPN,KSPN Trowulan dan sekitarnya,-7.569437336,112.2445679,15000,20000,30
321,KEPULAUAN RIAU,KSPN,KSPN Muaro Jambi dan sekitarnya,-1.46106149,103.8427735,28000,15000,30
322,KEPULAUAN RIAU,KSPN,KSPN Nongsa dan sekitarnya,1.138364282,104.0666199,12000,6000,15
323,KEPULAUAN RIAU,KSPN,KSPN Lagoi-Bintan dan sekitarnya,1.147975405,104.4483948,19000,12000,70
326,LAMPUNG,KSPN,KSPN Enggano dan sekitarnya,-5.38633569,102.2607422,23000,14000,-60
327,LAMPUNG,KSPN,KSPN Danau Ranau dan sekitarnya,-4.882994244,103.9526367,23000,14000,40
328,LAMPUNG,KSPN,KSPN Krakatau-Selat Sunda dan sekitarnya,-6.12416959,105.4138184,15000,8000,90
304,MALUKU,KSPN,KSPN Raja Ampat dan sekitarnya,-1.609285435,129.9298096,98000,46000,130
281,MALUKU UTARA,KSPN,KSPN Wakatobi dan sekitarnya,-5.635119296,123.7994385,59000,30000,140
275,NUSA TENGGARA BARAT,KSPN,KSPN Kota Tua-Sunda Kelapa dan sekitarnya,-6.109149388,106.789856,8000,5000,60
276,NUSA TENGGARA BARAT,KSPN,KSPN Rinjani dan sekitarnya,-8.369127357,116.4344788,8000,20000,80
277,NUSA TENGGARA BARAT,KSPN,KSPN Gili Tramena dan sekitarnya,-8.362333964,116.1268616,10000,6800,90
278,NUSA TENGGARA BARAT,KSPN,KSPN Pantai Selatan dan sekitarnya Lombok,-8.894569222,116.2147522,15000,7000,100
279,NUSA TENGGARA BARAT,KSPN,KSPN Moyo dan sekitarnya,-8.475088882,117.4411011,48000,29000,200
349,NUSA TENGGARA TIMUR,KSPN,KSPN Nusa Penida dan sekitarnya,-8.733085136,115.52948,8000,12000,40
350,NUSA TENGGARA TIMUR,KSPN,KSPN Komodo dan sekitarnya,-8.629910825,119.5889282,22000,29000,20
352,NUSA TENGGARA TIMUR,KSPN,KSPN Waikabubak-Manupeh Tanah Daru dan sekitarnya,-9.565550364,119.3252564,49000,26000,80
353,NUSA TENGGARA TIMUR,KSPN,KSPN Alor-Kalabahi dan sekitarnya,-8.303921376,124.3432617,44000,23000,60
298,PAPUA,KSPN,KSPN Long Bagun dan sekitarnya,0.71409284,115.1422119,15000,25000,80
299,PAPUA,KSPN,KSPN Wazur-Merauke dan sekitarnya,-8.504970203,140.5755615,60000,28000,90
300,PAPUA,KSPN,KSPN Agats-Asmat dan sekitarnya,-5.632385981,138.2025146,47000,26000,140
301,PAPUA,KSPN,KSPN Sentani dan sekitarnya,-2.521920876,140.3819275,29000,18000,140
302,PAPUA,KSPN,KSPN Biak dan sekitarnya,-1.132891262,136.1686707,47000,27000,110
351,PAPUA,KSPN,KSPN Ende-Kelimutu dan sekitarnya,-8.825374809,121.7944336,11000,20000,160
303,PAPUA BARAT,KSPN,KSPN Teluk Cenderawasih dan sekitarnya,-1.889305963,134.2529297,48000,23000,150
310,SULAWESI SELATAN,KSPN,KSPN Gorontalo Kota-Limboto dan sekitarnya,0.705853727,122.9699707,35000,21000,145
311,SULAWESI SELATAN,KSPN,KSPN Toraja dan sekitarnya,-3.052753822,120.0201416,18000,10000,170
312,SULAWESI SELATAN,KSPN,KSPN Takabonerate dan sekitarnya,-7.100892669,120.9237671,50000,35000,110
308,SULAWESI TENGAH,KSPN,KSPN Tomohon-Tondano dan sekitarnya,1.194676607,124.962616,15000,20000,60
280,SULAWESI TENGGARA,KSPN,KSPN Tambora dan sekitarnya,-8.246828247,118.0728149,47000,26000,120
305,SULAWESI UTARA,KSPN,KSPN Bandaneira dan sekitarnya,-4.555206475,129.8535919,25000,14000,95
306,SULAWESI UTARA,KSPN,KSPN Bunaken dan sekitarnya,1.676549029,124.755249,9000,15000,120
307,SULAWESI UTARA,KSPN,KSPN Bitung-Lembeh dan sekitarnya,1.462396125,125.1535034,13500,20000,140
316,SUMATERA BARAT,KSPN,KSPN Derawan-Sangalaki dan sekitarnya,2.086940731,118.5534668,55000,26000,130
318,SUMATERA BARAT,KSPN,KSPN Maninjau dan sekitarnya,-0.39552374,100.1197815,22000,9000,35
319,SUMATERA BARAT,KSPN,KSPN Singkarak dan sekitarnya,-0.763546231,100.6100464,30000,12000,-25
355,SUMATERA BARAT,KSPN,KSPN Weh dan sekitarnya,5.845529463,95.29541016,14000,9000,120
272,SUMATERA SELATAN,KSPN,KSPN Tanjung Kelayang-Belitung dan sekitarnya,-2.65773779,107.7923584,50000,20000,85
313,SUMATERA SELATAN,KSPN,KSPN Lhoksado dan sekitarnya,-2.847033238,115.2301025,26000,15000,50
289,SUMATERA UTARA,KSPN,KSPN Dieng dan sekitarnya,-7.209900314,109.8825073,13000,8500,150
290,SUMATERA UTARA,KSPN,KSPN Teluk Dalam dan sekitarnya,0.766273543,97.8112793,38000,21000,180
291,SUMATERA UTARA,KSPN,KSPN Tangkahan-Leuser dan sekitarnya,3.77655931,98.23699951,30000,18000,90
295,SUMATERA UTARA,KSPN,KSPN Sambas dan sekitarnya,1.417091829,109.4677734,61000,40000,109
