tahun,bulan,provinsi,nama_pintu_masuk,jenis_pintu_masuk,jumlah_kunjungan_wisman
2023,Mei,PROVINSI LAINNYA,Pintu Udara Lainnya,Udara,1543
2023,Mei,KEP. RIAU,Batam,Laut,76577
2023,Mei,KEP. RIAU,Tanjung Uban,Laut,15001
2023,Mei,KEP. RIAU,Tanjung Pinang,Laut,3391
2023,Mei,KEP. RIAU,Tanjung Balai Karimun,Laut,3590
2023,Mei,BALI,Tanjung Benoa,Laut,21
2023,Mei,JAWA TENGAH,Tanjung Mas,Laut,0
2023,Mei,PROVINSI LAINNYA,Pintu Laut Lainnya,Laut,115746
2023,Mei,PAPUA,Jayapura,Darat,8251
2023,Mei,NUSA TENGGARA TIMUR,Atambua,Darat,6651
2023,Mei,KALIMANTAN BARAT,Entikong,Darat,2856
2023,Mei,KALIMANTAN BARAT,Aruk,Darat,2057
2023,Mei,KALIMANTAN BARAT,Nanga Badau,Darat,1324
2023,Mei,PROVINSI LAINNYA,Pintu Darat Lainnya,Darat,59184
2023,Juni,BALI,Ngurah Rai,Udara,478127
2023,Juni,DKI JAKARTA,Soekarno-Hatta,Udara,161114
2023,Juni,JAWA TIMUR,Juanda,Udara,18025
2023,Juni,SUMATERA UTARA,Kualanamu,Udara,16527
2023,Juni,JAWA BARAT,Husein Sastranegara,Udara,24
2023,Juni,DI YOGYAKARTA,Adi Sucipto,Udara,11188
2023,Juni,NUSA TENGGARA BARAT,Bandara Int Lombok,Udara,5721
2023,Juni,SULAWESI UTARA,Sam Ratulangi,Udara,3691
2023,Juni,SUMATERA BARAT,Minangkabau,Udara,5226
2023,Juni,RIAU,Sultan Syarif Kasim II,Udara,2447
2023,Juni,ACEH,Sultan Iskandar Muda,Udara,2157
2023,Juni,JAWA TENGAH,Ahmad Yani,Udara,0
2023,Juni,KALIMANTAN BARAT,Supadio,Udara,0
2023,Juni,SULAWESI SELATAN,Hasanuddin,Udara,1888
2023,Juni,SUMATERA SELATAN,Sultan Badaruddin II,Udara,0
2023,Juni,PROVINSI LAINNYA,Pintu Udara Lainnya,Udara,1341
2023,Juni,KEP. RIAU,Batam,Laut,133616
2023,Juni,KEP. RIAU,Tanjung Uban,Laut,26345
2023,Juni,KEP. RIAU,Tanjung Pinang,Laut,6086
2023,Juni,KEP. RIAU,Tanjung Balai Karimun,Laut,4734
2023,Juni,BALI,Tanjung Benoa,Laut,71
2023,Juni,JAWA TENGAH,Tanjung Mas,Laut,0
2023,Juni,PROVINSI LAINNYA,Pintu Laut Lainnya,Laut,105187
2023,Juni,PAPUA,Jayapura,Darat,9933
2023,Juni,NUSA TENGGARA TIMUR,Atambua,Darat,8267
2023,Juni,KALIMANTAN BARAT,Entikong,Darat,2819
2023,Juni,KALIMANTAN BARAT,Aruk,Darat,2755
2023,Juni,KALIMANTAN BARAT,Nanga Badau,Darat,1045
2023,Juni,PROVINSI LAINNYA,Pintu Darat Lainnya,Darat,54457
2023,Juli,BALI,Ngurah Rai,Udara,541272
2023,Juli,DKI JAKARTA,Soekarno-Hatta,Udara,204000
2023,Juli,JAWA TIMUR,Juanda,Udara,20303
2023,Juli,SUMATERA UTARA,Kualanamu,Udara,17478
2023,Juli,JAWA BARAT,Husein Sastranegara,Udara,3
2023,Juli,DI YOGYAKARTA,Adi Sucipto,Udara,12444
2023,Juli,NUSA TENGGARA BARAT,Bandara Int Lombok,Udara,6433
2023,Juli,SULAWESI UTARA,Sam Ratulangi,Udara,3782
2023,Juli,SUMATERA BARAT,Minangkabau,Udara,4946
2023,Juli,RIAU,Sultan Syarif Kasim II,Udara,2111
2023,Juli,ACEH,Sultan Iskandar Muda,Udara,2582
2023,Juli,JAWA TENGAH,Ahmad Yani,Udara,0
2023,Juli,KALIMANTAN BARAT,Supadio,Udara,0
2023,Juli,SULAWESI SELATAN,Hasanuddin,Udara,1755
2023,Juli,SUMATERA SELATAN,Sultan Badaruddin II,Udara,11
2023,Juli,PROVINSI LAINNYA,Pintu Udara Lainnya,Udara,2376
2023,Juli,KEP. RIAU,Batam,Laut,94373
2023,Juli,KEP. RIAU,Tanjung Uban,Laut,17619
2023,Juli,KEP. RIAU,Tanjung Pinang,Laut,4010
2023,Juli,KEP. RIAU,Tanjung Balai Karimun,Laut,4391
2023,Juli,BALI,Tanjung Benoa,Laut,81
2023,Juli,JAWA TENGAH,Tanjung Mas,Laut,0
2023,Juli,PROVINSI LAINNYA,Pintu Laut Lainnya,Laut,104632
2023,Juli,PAPUA,Jayapura,Darat,7723
2023,Juli,NUSA TENGGARA TIMUR,Atambua,Darat,8198
2023,Juli,KALIMANTAN BARAT,Entikong,Darat,2639
2023,Juli,KALIMANTAN BARAT,Aruk,Darat,1832
2023,Juli,KALIMANTAN BARAT,Nanga Badau,Darat,727
2023,Juli,PROVINSI LAINNYA,Pintu Darat Lainnya,Darat,55468
2023,Agustus,BALI,Ngurah Rai,Udara,522063
2023,Agustus,DKI JAKARTA,Soekarno-Hatta,Udara,218512
2023,Agustus,JAWA TIMUR,Juanda,Udara,25548
2023,Agustus,SUMATERA UTARA,Kualanamu,Udara,20843
2023,Agustus,JAWA BARAT,Husein Sastranegara,Udara,0
2023,Agustus,DI YOGYAKARTA,Adi Sucipto,Udara,12974
2023,Agustus,NUSA TENGGARA BARAT,Bandara Int Lombok,Udara,6245
2023,Agustus,SULAWESI UTARA,Sam Ratulangi,Udara,5397
2023,Agustus,SUMATERA BARAT,Minangkabau,Udara,5577
2023,Agustus,RIAU,Sultan Syarif Kasim II,Udara,2770
2023,Agustus,ACEH,Sultan Iskandar Muda,Udara,3108
2023,Agustus,JAWA TENGAH,Ahmad Yani,Udara,0
2023,Agustus,KALIMANTAN BARAT,Supadio,Udara,0
2023,Agustus,SULAWESI SELATAN,Hasanuddin,Udara,1609
2023,Agustus,SUMATERA SELATAN,Sultan Badaruddin II,Udara,4
2023,Agustus,PROVINSI LAINNYA,Pintu Udara Lainnya,Udara,1796
2023,Agustus,KEP. RIAU,Batam,Laut,94601
2023,Agustus,KEP. RIAU,Tanjung Uban,Laut,19237
2023,Agustus,KEP. RIAU,Tanjung Pinang,Laut,4222
2023,Agustus,KEP. RIAU,Tanjung Balai Karimun,Laut,4173
2023,Agustus,BALI,Tanjung Benoa,Laut,78
2023,Agustus,JAWA TENGAH,Tanjung Mas,Laut,0
2023,Agustus,PROVINSI LAINNYA,Pintu Laut Lainnya,Laut,97888
2023,Agustus,PAPUA,Jayapura,Darat,8335
2023,Agustus,NUSA TENGGARA TIMUR,Atambua,Darat,11895
2023,Agustus,KALIMANTAN BARAT,Entikong,Darat,3488
2023,Agustus,KALIMANTAN BARAT,Aruk,Darat,2653
2023,Agustus,KALIMANTAN BARAT,Nanga Badau,Darat,628
2023,Agustus,PROVINSI LAINNYA,Pintu Darat Lainnya,Darat,58994
2023,September,BALI,Ngurah Rai,Udara,508297
2023,September,DKI JAKARTA,Soekarno-Hatta,Udara,190058
2023,September,JAWA TIMUR,Juanda,Udara,25593
2023,September,SUMATERA UTARA,Kualanamu,Udara,15783
