provinsi,bulan,jumlah_kunjungan_wisnus,tahun
NUSA TENGGARA TIMUR,Juni,123912,2020
KALIMANTAN BARAT,Juni,114469,2020
KALIMANTAN TENGAH,Juni,105229,2020
KALIMANTAN SELATAN,Juni,217081,2020
KALIMANTAN TIMUR,Juni,153412,2020
KALIMANTAN UTARA,Juni,12698,2020
SULAWESI UTARA,Juni,112243,2020
SULAWESI TENGAH,Juni,86803,2020
SULAWESI SELATAN,Juni,547513,2020
SULAWESI TENGGARA,Juni,106867,2020
GORONTALO,Juni,49003,2020
SULAWESI BARAT,Juni,49222,2020
MALUKU,Juni,11914,2020
MALUKU UTARA,Juni,23881,2020
PAPUA BARAT,Juni,17414,2020
PAPUA,Juni,35260,2020
ACEH,Juli,333571,2020
SUMATERA UTARA,Juli,1082687,2020
SUMATERA BARAT,Juli,754303,2020
RIAU,Juli,440119,2020
JAMBI,Juli,235975,2020
SUMATERA SELATAN,Juli,486690,2020
BENGKULU,Juli,131746,2020
LAMPUNG,Juli,779034,2020
KEP. BANGKA BELITUNG,Juli,70022,2020
KEP. RIAU,Juli,47791,2020
DKI JAKARTA,Juli,2338540,2020
JAWA BARAT,Juli,8293439,2020
JAWA TENGAH,Juli,10624146,2020
DI YOGYAKARTA,Juli,1407181,2020
JAWA TIMUR,Juli,11452136,2020
BANTEN,Juli,2276198,2020
BALI,Juli,596736,2020
NUSA TENGGARA BARAT,Juli,292720,2020
NUSA TENGGARA TIMUR,Juli,180686,2020
KALIMANTAN BARAT,Juli,156207,2020
KALIMANTAN TENGAH,Juli,153741,2020
KALIMANTAN SELATAN,Juli,299967,2020
KALIMANTAN TIMUR,Juli,179746,2020
KALIMANTAN UTARA,Juli,17870,2020
SULAWESI UTARA,Juli,193492,2020
SULAWESI TENGAH,Juli,119534,2020
SULAWESI SELATAN,Juli,663996,2020
SULAWESI TENGGARA,Juli,146936,2020
GORONTALO,Juli,68769,2020
SULAWESI BARAT,Juli,61561,2020
MALUKU,Juli,15625,2020
MALUKU UTARA,Juli,36540,2020
PAPUA BARAT,Juli,22301,2020
PAPUA,Juli,45320,2020
ACEH,Agustus,392055,2020
SUMATERA UTARA,Agustus,1291700,2020
SUMATERA BARAT,Agustus,827245,2020
RIAU,Agustus,497048,2020
JAMBI,Agustus,258405,2020
SUMATERA SELATAN,Agustus,555501,2020
BENGKULU,Agustus,154764,2020
LAMPUNG,Agustus,880796,2020
KEP. BANGKA BELITUNG,Agustus,87978,2020
KEP. RIAU,Agustus,46331,2020
DKI JAKARTA,Agustus,2588398,2020
JAWA BARAT,Agustus,9436215,2020
JAWA TENGAH,Agustus,11468963,2020
DI YOGYAKARTA,Agustus,1835908,2020
JAWA TIMUR,Agustus,11299515,2020
BANTEN,Agustus,2660062,2020
BALI,Agustus,773886,2020
NUSA TENGGARA BARAT,Agustus,345466,2020
NUSA TENGGARA TIMUR,Agustus,208219,2020
KALIMANTAN BARAT,Agustus,188940,2020
KALIMANTAN TENGAH,Agustus,178547,2020
KALIMANTAN SELATAN,Agustus,378968,2020
KALIMANTAN TIMUR,Agustus,193051,2020
KALIMANTAN UTARA,Agustus,19917,2020
SULAWESI UTARA,Agustus,259030,2020
SULAWESI TENGAH,Agustus,157123,2020
SULAWESI SELATAN,Agustus,909748,2020
SULAWESI TENGGARA,Agustus,181890,2020
GORONTALO,Agustus,83192,2020
SULAWESI BARAT,Agustus,80440,2020
MALUKU,Agustus,21065,2020
MALUKU UTARA,Agustus,43536,2020
PAPUA BARAT,Agustus,23616,2020
PAPUA,Agustus,46725,2020
ACEH,September,293602,2020
SUMATERA UTARA,September,1016798,2020
SUMATERA BARAT,September,555478,2020
RIAU,September,422867,2020
JAMBI,September,228973,2020
SUMATERA SELATAN,September,484199,2020
BENGKULU,September,127706,2020
LAMPUNG,September,686462,2020
KEP. BANGKA BELITUNG,September,73888,2020
KEP. RIAU,September,48314,2020
DKI JAKARTA,September,1961247,2020
JAWA BARAT,September,6769447,2020
JAWA TENGAH,September,10031173,2020
DI YOGYAKARTA,September,1570374,2020
JAWA TIMUR,September,12304681,2020
BANTEN,September,1938669,2020
BALI,September,737473,2020
NUSA TENGGARA BARAT,September,303882,2020
NUSA TENGGARA TIMUR,September,204091,2020
KALIMANTAN BARAT,September,139666,2020
KALIMANTAN TENGAH,September,177946,2020
KALIMANTAN SELATAN,September,340628,2020
KALIMANTAN TIMUR,September,179654,2020
KALIMANTAN UTARA,September,20879,2020
SULAWESI UTARA,September,282281,2020
SULAWESI TENGAH,September,132882,2020
SULAWESI SELATAN,September,850322,2020
SULAWESI TENGGARA,September,206855,2020
GORONTALO,September,94892,2020
SULAWESI BARAT,September,75891,2020
MALUKU,September,23965,2020
MALUKU UTARA,September,47792,2020
PAPUA BARAT,September,23906,2020
PAPUA,September,50583,2020
ACEH,Oktober,340415,2020
SUMATERA UTARA,Oktober,1232110,2020
SUMATERA BARAT,Oktober,672099,2020
RIAU,Oktober,520924,2020
JAMBI,Oktober,240877,2020
SUMATERA SELATAN,Oktober,557537,2020
BENGKULU,Oktober,146378,2020
LAMPUNG,Oktober,788792,2020
KEP. BANGKA BELITUNG,Oktober,81326,2020
KEP. RIAU,Oktober,60644,2020
DKI JAKARTA,Oktober,2466514,2020
JAWA BARAT,Oktober,8455505,2020
JAWA TENGAH,Oktober,11470617,2020
DI YOGYAKARTA,Oktober,1937169,2020
JAWA TIMUR,Oktober,11175527,2020
BANTEN,Oktober,2516445,2020
BALI,Oktober,798998,2020
NUSA TENGGARA BARAT,Oktober,321857,2020
NUSA TENGGARA TIMUR,Oktober,269250,2020
KALIMANTAN BARAT,Oktober,157775,2020
KALIMANTAN TENGAH,Oktober,191431,2020
KALIMANTAN SELATAN,Oktober,401871,2020
KALIMANTAN TIMUR,Oktober,209778,2020
KALIMANTAN UTARA,Oktober,22363,2020
SULAWESI UTARA,Oktober,335445,2020
SULAWESI TENGAH,Oktober,109312,2020
SULAWESI SELATAN,Oktober,959171,2020
SULAWESI TENGGARA,Oktober,193265,2020
GORONTALO,Oktober,108500,2020
SULAWESI BARAT,Oktober,75517,2020
MALUKU,Oktober,29428,2020
MALUKU UTARA,Oktober,50275,2020
PAPUA BARAT,Oktober,26119,2020
PAPUA,Oktober,55847,2020
ACEH,November,322558,2020
SUMATERA UTARA,November,1120288,2020
SUMATERA BARAT,November,661261,2020
RIAU,November,463144,2020
JAMBI,November,242326,2020
SUMATERA SELATAN,November,514748,2020
BENGKULU,November,131395,2020
LAMPUNG,November,737712,2020
KEP. BANGKA BELITUNG,November,86222,2020
KEP. RIAU,November,61440,2020
DKI JAKARTA,November,3248857,2020
JAWA BARAT,November,8397804,2020
JAWA TENGAH,November,11782903,2020
DI YOGYAKARTA,November,1884242,2020
JAWA TIMUR,November,11164569,2020
BANTEN,November,2951355,2020
BALI,November,847456,2020
NUSA TENGGARA BARAT,November,297806,2020
NUSA TENGGARA TIMUR,November,232124,2020
KALIMANTAN BARAT,November,142495,2020
KALIMANTAN TENGAH,November,178377,2020
KALIMANTAN SELATAN,November,373595,2020
KALIMANTAN TIMUR,November,208725,2020
KALIMANTAN UTARA,November,22030,2020
SULAWESI UTARA,November,326566,2020
SULAWESI TENGAH,November,137047,2020
SULAWESI SELATAN,November,906014,2020
SULAWESI TENGGARA,November,191705,2020
GORONTALO,November,101882,2020
SULAWESI BARAT,November,75153,2020
MALUKU,November,30269,2020
MALUKU UTARA,November,48505,2020
PAPUA BARAT,November,32062,2020
PAPUA,November,58583,2020
ACEH,Desember,479226,2020
SUMATERA UTARA,Desember,1831624,2020
SUMATERA BARAT,Desember,1115758,2020
RIAU,Desember,674613,2020
JAMBI,Desember,326026,2020
SUMATERA SELATAN,Desember,745355,2020
BENGKULU,Desember,184734,2020
LAMPUNG,Desember,1024964,2020
KEP. BANGKA BELITUNG,Desember,111916,2020
KEP. RIAU,Desember,94695,2020
DKI JAKARTA,Desember,3679663,2020
JAWA BARAT,Desember,9414524,2020
JAWA TENGAH,Desember,14465546,2020
DI YOGYAKARTA,Desember,2210558,2020
JAWA TIMUR,Desember,13932909,2020
BANTEN,Desember,3305453,2020
BALI,Desember,1144499,2020
NUSA TENGGARA BARAT,Desember,371680,2020
NUSA TENGGARA TIMUR,Desember,359388,2020
KALIMANTAN BARAT,Desember,261247,2020
KALIMANTAN TENGAH,Desember,218817,2020
KALIMANTAN SELATAN,Desember,470887,2020
KALIMANTAN TIMUR,Desember,275463,2020
KALIMANTAN UTARA,Desember,68039,2020
SULAWESI UTARA,Desember,377599,2020
SULAWESI TENGAH,Desember,189733,2020
SULAWESI SELATAN,Desember,1063264,2020
SULAWESI TENGGARA,Desember,269241,2020
GORONTALO,Desember,132725,2020
SULAWESI BARAT,Desember,110693,2020
MALUKU,Desember,147307,2020
MALUKU UTARA,Desember,83999,2020
PAPUA BARAT,Desember,50886,2020
PAPUA,Desember,136898,2020
ACEH,Januari,1387574,2019
SUMATERA UTARA,Januari,5094564,2019
SUMATERA BARAT,Januari,1667509,2019
RIAU,Januari,1990985,2019
JAMBI,Januari,828879,2019
SUMATERA SELATAN,Januari,1763349,2019
BENGKULU,Januari,414287,2019
LAMPUNG,Januari,2082997,2019
KEP. BANGKA BELITUNG,Januari,298322,2019
KEP. RIAU,Januari,434786,2019
DKI JAKARTA,Januari,5397751,2019
JAWA BARAT,Januari,11116072,2019
JAWA TENGAH,Januari,5499613,2019
DI YOGYAKARTA,Januari,1411202,2019
JAWA TIMUR,Januari,7370689,2019
BANTEN,Januari,3499099,2019
BALI,Januari,1316977,2019
NUSA TENGGARA BARAT,Januari,638044,2019
NUSA TENGGARA TIMUR,Januari,730527,2019
KALIMANTAN BARAT,Januari,868324,2019
KALIMANTAN TENGAH,Januari,583298,2019
KALIMANTAN SELATAN,Januari,798371,2019
KALIMANTAN TIMUR,Januari,979211,2019
KALIMANTAN UTARA,Januari,143744,2019
SULAWESI UTARA,Januari,256496,2019
SULAWESI TENGAH,Januari,451254,2019
SULAWESI SELATAN,Januari,2054894,2019
SULAWESI TENGGARA,Januari,534762,2019
GORONTALO,Januari,90789,2019
SULAWESI BARAT,Januari,197588,2019
MALUKU,Januari,258094,2019
MALUKU UTARA,Januari,125514,2019
PAPUA BARAT,Januari,185287,2019
PAPUA,Januari,313389,2019
ACEH,Februari,1111607,2019
SUMATERA UTARA,Februari,3282713,2019
SUMATERA BARAT,Februari,1313185,2019
RIAU,Februari,1425092,2019
JAMBI,Februari,652908,2019
SUMATERA SELATAN,Februari,1294947,2019
BENGKULU,Februari,304721,2019
LAMPUNG,Februari,1612674,2019
KEP. BANGKA BELITUNG,Februari,240226,2019
KEP. RIAU,Februari,351865,2019
DKI JAKARTA,Februari,4349186,2019
JAWA BARAT,Februari,9942434,2019
JAWA TENGAH,Februari,3635334,2019
DI YOGYAKARTA,Februari,914238,2019
JAWA TIMUR,Februari,3397447,2019
BANTEN,Februari,2693769,2019
BALI,Februari,1225808,2019
NUSA TENGGARA BARAT,Februari,650532,2019
NUSA TENGGARA TIMUR,Februari,588445,2019
KALIMANTAN BARAT,Februari,718122,2019
KALIMANTAN TENGAH,Februari,422358,2019
KALIMANTAN SELATAN,Februari,624476,2019
KALIMANTAN TIMUR,Februari,691855,2019
KALIMANTAN UTARA,Februari,109695,2019
SULAWESI UTARA,Februari,112937,2019
SULAWESI TENGAH,Februari,308973,2019
SULAWESI SELATAN,Februari,1402775,2019
SULAWESI TENGGARA,Februari,405350,2019
GORONTALO,Februari,48019,2019
SULAWESI BARAT,Februari,134391,2019
MALUKU,Februari,193290,2019
MALUKU UTARA,Februari,76500,2019
PAPUA BARAT,Februari,143094,2019
PAPUA,Februari,209857,2019
ACEH,Maret,1113176,2019
SUMATERA UTARA,Maret,3442407,2019
SUMATERA BARAT,Maret,1420799,2019
RIAU,Maret,1541155,2019
JAMBI,Maret,716028,2019
SUMATERA SELATAN,Maret,1356470,2019
BENGKULU,Maret,336570,2019
LAMPUNG,Maret,1606207,2019
KEP. BANGKA BELITUNG,Maret,255054,2019
KEP. RIAU,Maret,358547,2019
DKI JAKARTA,Maret,4859467,2019
JAWA BARAT,Maret,11088052,2019
JAWA TENGAH,Maret,8111673,2019
DI YOGYAKARTA,Maret,1838076,2019
JAWA TIMUR,Maret,6166799,2019
BANTEN,Maret,2938462,2019
BALI,Maret,1465586,2019
NUSA TENGGARA BARAT,Maret,615424,2019
NUSA TENGGARA TIMUR,Maret,609906,2019
KALIMANTAN BARAT,Maret,702067,2019
KALIMANTAN TENGAH,Maret,478327,2019
KALIMANTAN SELATAN,Maret,1065096,2019
KALIMANTAN TIMUR,Maret,782692,2019
KALIMANTAN UTARA,Maret,132047,2019
SULAWESI UTARA,Maret,197795,2019
SULAWESI TENGAH,Maret,374463,2019
SULAWESI SELATAN,Maret,1654575,2019
SULAWESI TENGGARA,Maret,436423,2019
GORONTALO,Maret,84467,2019
SULAWESI BARAT,Maret,163587,2019
MALUKU,Maret,206894,2019
MALUKU UTARA,Maret,166014,2019
PAPUA BARAT,Maret,159903,2019
PAPUA,Maret,224960,2019
ACEH,April,1155705,2019
SUMATERA UTARA,April,3676763,2019
SUMATERA BARAT,April,1573606,2019
RIAU,April,1563303,2019
JAMBI,April,547378,2019
SUMATERA SELATAN,April,1099872,2019
BENGKULU,April,287546,2019
LAMPUNG,April,1164672,2019
KEP. BANGKA BELITUNG,April,199678,2019
KEP. RIAU,April,360392,2019
DKI JAKARTA,April,4798553,2019
JAWA BARAT,April,11993275,2019
JAWA TENGAH,April,9858616,2019
DI YOGYAKARTA,April,2187942,2019
JAWA TIMUR,April,5021927,2019
BANTEN,April,2963258,2019
BALI,April,1483415,2019
NUSA TENGGARA BARAT,April,623576,2019
NUSA TENGGARA TIMUR,April,656777,2019
KALIMANTAN BARAT,April,667426,2019
KALIMANTAN TENGAH,April,459150,2019
KALIMANTAN SELATAN,April,684460,2019
KALIMANTAN TIMUR,April,774765,2019
KALIMANTAN UTARA,April,127958,2019
SULAWESI UTARA,April,221246,2019
SULAWESI TENGAH,April,374029,2019
SULAWESI SELATAN,April,1799377,2019
SULAWESI TENGGARA,April,487941,2019
GORONTALO,April,102283,2019
SULAWESI BARAT,April,174495,2019
MALUKU,April,216036,2019
MALUKU UTARA,April,190003,2019
PAPUA BARAT,April,152087,2019
PAPUA,April,209282,2019
ACEH,Mei,1070909,2019
SUMATERA UTARA,Mei,3469100,2019
SUMATERA BARAT,Mei,1511963,2019
RIAU,Mei,1574681,2019
JAMBI,Mei,438508,2019
SUMATERA SELATAN,Mei,917156,2019
BENGKULU,Mei,258241,2019
LAMPUNG,Mei,877643,2019
KEP. BANGKA BELITUNG,Mei,122301,2019
KEP. RIAU,Mei,358416,2019
DKI JAKARTA,Mei,4428139,2019
JAWA BARAT,Mei,10148348,2019
JAWA TENGAH,Mei,6842427,2019
DI YOGYAKARTA,Mei,1206999,2019
JAWA TIMUR,Mei,6577537,2019
BANTEN,Mei,2694170,2019
BALI,Mei,1185662,2019
NUSA TENGGARA BARAT,Mei,672162,2019
NUSA TENGGARA TIMUR,Mei,668972,2019
KALIMANTAN BARAT,Mei,668813,2019
KALIMANTAN TENGAH,Mei,481899,2019
KALIMANTAN SELATAN,Mei,686310,2019
KALIMANTAN TIMUR,Mei,797668,2019
KALIMANTAN UTARA,Mei,136905,2019
SULAWESI UTARA,Mei,235233,2019
SULAWESI TENGAH,Mei,368161,2019
SULAWESI SELATAN,Mei,1653101,2019
SULAWESI TENGGARA,Mei,445093,2019
GORONTALO,Mei,109827,2019
SULAWESI BARAT,Mei,152740,2019
MALUKU,Mei,228658,2019
MALUKU UTARA,Mei,163855,2019
PAPUA BARAT,Mei,161711,2019
PAPUA,Mei,235428,2019
ACEH,Juni,1800152,2019
SUMATERA UTARA,Juni,5774370,2019
SUMATERA BARAT,Juni,2910574,2019
RIAU,Juni,2179811,2019
JAMBI,Juni,572785,2019
SUMATERA SELATAN,Juni,1380350,2019
BENGKULU,Juni,407898,2019
LAMPUNG,Juni,1653991,2019
KEP. BANGKA BELITUNG,Juni,178462,2019
KEP. RIAU,Juni,460205,2019
DKI JAKARTA,Juni,5181301,2019
JAWA BARAT,Juni,17758640,2019
JAWA TENGAH,Juni,11212167,2019
DI YOGYAKARTA,Juni,2259780,2019
JAWA TIMUR,Juni,9120727,2019
BANTEN,Juni,3763715,2019
BALI,Juni,1822787,2019
NUSA TENGGARA BARAT,Juni,905622,2019
NUSA TENGGARA TIMUR,Juni,800071,2019
KALIMANTAN BARAT,Juni,965873,2019
KALIMANTAN TENGAH,Juni,578068,2019
KALIMANTAN SELATAN,Juni,995857,2019
KALIMANTAN TIMUR,Juni,999931,2019
KALIMANTAN UTARA,Juni,143427,2019
SULAWESI UTARA,Juni,325311,2019
SULAWESI TENGAH,Juni,380756,2019
SULAWESI SELATAN,Juni,2395339,2019
SULAWESI TENGGARA,Juni,621228,2019
GORONTALO,Juni,163192,2019
SULAWESI BARAT,Juni,221961,2019
MALUKU,Juni,224863,2019
MALUKU UTARA,Juni,119683,2019
PAPUA BARAT,Juni,172118,2019
PAPUA,Juni,240501,2019
ACEH,Juli,1323272,2019
SUMATERA UTARA,Juli,3996409,2019
SUMATERA BARAT,Juli,1719018,2019
RIAU,Juli,1646721,2019
JAMBI,Juli,498688,2019
SUMATERA SELATAN,Juli,848202,2019
BENGKULU,Juli,292552,2019
LAMPUNG,Juli,992730,2019
KEP. BANGKA BELITUNG,Juli,148190,2019
KEP. RIAU,Juli,413445,2019
DKI JAKARTA,Juli,5727689,2019
JAWA BARAT,Juli,12666376,2019
JAWA TENGAH,Juli,7224219,2019
DI YOGYAKARTA,Juli,2001306,2019
JAWA TIMUR,Juli,4493144,2019
BANTEN,Juli,3571783,2019
BALI,Juli,1682553,2019
NUSA TENGGARA BARAT,Juli,768494,2019
NUSA TENGGARA TIMUR,Juli,761909,2019
KALIMANTAN BARAT,Juli,737058,2019
KALIMANTAN TENGAH,Juli,495108,2019
KALIMANTAN SELATAN,Juli,781045,2019
KALIMANTAN TIMUR,Juli,845422,2019
KALIMANTAN UTARA,Juli,129237,2019
SULAWESI UTARA,Juli,336575,2019
SULAWESI TENGAH,Juli,323650,2019
SULAWESI SELATAN,Juli,1917506,2019
SULAWESI TENGGARA,Juli,487514,2019
GORONTALO,Juli,123297,2019
SULAWESI BARAT,Juli,173239,2019
MALUKU,Juli,111095,2019
MALUKU UTARA,Juli,102619,2019
PAPUA BARAT,Juli,164784,2019
PAPUA,Juli,234623,2019
ACEH,Agustus,1508073,2019
SUMATERA UTARA,Agustus,3699782,2019
SUMATERA BARAT,Agustus,1207708,2019
RIAU,Agustus,1227426,2019
JAMBI,Agustus,620967,2019
SUMATERA SELATAN,Agustus,1265112,2019
BENGKULU,Agustus,353997,2019
LAMPUNG,Agustus,1422192,2019
KEP. BANGKA BELITUNG,Agustus,182592,2019
KEP. RIAU,Agustus,286867,2019
DKI JAKARTA,Agustus,5927808,2019
JAWA BARAT,Agustus,13851900,2019
JAWA TENGAH,Agustus,8383154,2019
DI YOGYAKARTA,Agustus,1852091,2019
JAWA TIMUR,Agustus,7666096,2019
BANTEN,Agustus,3972592,2019
BALI,Agustus,1618973,2019
NUSA TENGGARA BARAT,Agustus,752154,2019
NUSA TENGGARA TIMUR,Agustus,643008,2019
KALIMANTAN BARAT,Agustus,750991,2019
KALIMANTAN TENGAH,Agustus,490930,2019
KALIMANTAN SELATAN,Agustus,807828,2019
KALIMANTAN TIMUR,Agustus,845716,2019
KALIMANTAN UTARA,Agustus,128417,2019
SULAWESI UTARA,Agustus,305167,2019
SULAWESI TENGAH,Agustus,506559,2019
SULAWESI SELATAN,Agustus,2516211,2019
SULAWESI TENGGARA,Agustus,532628,2019
GORONTALO,Agustus,131352,2019
SULAWESI BARAT,Agustus,262037,2019
MALUKU,Agustus,104002,2019
MALUKU UTARA,Agustus,99582,2019
PAPUA BARAT,Agustus,158220,2019
PAPUA,Agustus,224909,2019
ACEH,September,1174513,2019
SUMATERA UTARA,September,3208776,2019
SUMATERA BARAT,September,1011691,2019
RIAU,September,1018291,2019
JAMBI,September,580974,2019
SUMATERA SELATAN,September,1121514,2019
BENGKULU,September,347174,2019
LAMPUNG,September,1191629,2019
KEP. BANGKA BELITUNG,September,171412,2019
KEP. RIAU,September,244300,2019
DKI JAKARTA,September,5562321,2019
JAWA BARAT,September,11808826,2019
JAWA TENGAH,September,5921102,2019
DI YOGYAKARTA,September,1510369,2019
JAWA TIMUR,September,7960768,2019
BANTEN,September,3532654,2019
BALI,September,1445303,2019
NUSA TENGGARA BARAT,September,691694,2019
NUSA TENGGARA TIMUR,September,323446,2019
KALIMANTAN BARAT,September,611793,2019
KALIMANTAN TENGAH,September,468770,2019
KALIMANTAN SELATAN,September,685513,2019
KALIMANTAN TIMUR,September,747355,2019
KALIMANTAN UTARA,September,112758,2019
SULAWESI UTARA,September,267290,2019
SULAWESI TENGAH,September,404438,2019
SULAWESI SELATAN,September,2106120,2019
SULAWESI TENGGARA,September,439248,2019
GORONTALO,September,106151,2019
SULAWESI BARAT,September,204889,2019
MALUKU,September,91767,2019
MALUKU UTARA,September,85337,2019
PAPUA BARAT,September,73498,2019
PAPUA,September,174820,2019
ACEH,Oktober,1219323,2019
SUMATERA UTARA,Oktober,3419415,2019
SUMATERA BARAT,Oktober,1094813,2019
RIAU,Oktober,1131194,2019
JAMBI,Oktober,533651,2019
SUMATERA SELATAN,Oktober,1276480,2019
BENGKULU,Oktober,342352,2019
LAMPUNG,Oktober,1269517,2019
KEP. BANGKA BELITUNG,Oktober,195073,2019
KEP. RIAU,Oktober,274522,2019
DKI JAKARTA,Oktober,6491736,2019
JAWA BARAT,Oktober,13129658,2019
JAWA TENGAH,Oktober,6370710,2019
DI YOGYAKARTA,Oktober,1684368,2019
JAWA TIMUR,Oktober,9665026,2019
BANTEN,Oktober,4205610,2019
BALI,Oktober,1627142,2019
NUSA TENGGARA BARAT,Oktober,745786,2019
NUSA TENGGARA TIMUR,Oktober,365828,2019
KALIMANTAN BARAT,Oktober,644920,2019
KALIMANTAN TENGAH,Oktober,455242,2019
KALIMANTAN SELATAN,Oktober,718103,2019
KALIMANTAN TIMUR,Oktober,817926,2019
KALIMANTAN UTARA,Oktober,120089,2019
SULAWESI UTARA,Oktober,307207,2019
SULAWESI TENGAH,Oktober,469816,2019
SULAWESI SELATAN,Oktober,2341121,2019
SULAWESI TENGGARA,Oktober,303878,2019
GORONTALO,Oktober,139035,2019
SULAWESI BARAT,Oktober,242300,2019
MALUKU,Oktober,96055,2019
MALUKU UTARA,Oktober,177456,2019
PAPUA BARAT,Oktober,93397,2019
PAPUA,Oktober,204906,2019
ACEH,November,1198958,2019
SUMATERA UTARA,November,3416228,2019
SUMATERA BARAT,November,1078273,2019
RIAU,November,1119316,2019
JAMBI,November,526013,2019
SUMATERA SELATAN,November,1168308,2019
BENGKULU,November,340572,2019
LAMPUNG,November,1276815,2019
KEP. BANGKA BELITUNG,November,198154,2019
KEP. RIAU,November,287732,2019
DKI JAKARTA,November,6602925,2019
JAWA BARAT,November,13649852,2019
JAWA TENGAH,November,5998022,2019
DI YOGYAKARTA,November,1704053,2019
JAWA TIMUR,November,9788588,2019
BANTEN,November,4339169,2019
BALI,November,1618206,2019
NUSA TENGGARA BARAT,November,742083,2019
NUSA TENGGARA TIMUR,November,354781,2019
KALIMANTAN BARAT,November,647391,2019
KALIMANTAN TENGAH,November,467380,2019
KALIMANTAN SELATAN,November,763093,2019
KALIMANTAN TIMUR,November,799348,2019
KALIMANTAN UTARA,November,121255,2019
SULAWESI UTARA,November,286146,2019
SULAWESI TENGAH,November,494853,2019
SULAWESI SELATAN,November,2345045,2019
SULAWESI TENGGARA,November,300770,2019
GORONTALO,November,120291,2019
SULAWESI BARAT,November,236861,2019
MALUKU,November,97869,2019
MALUKU UTARA,November,163370,2019
PAPUA BARAT,November,94620,2019
PAPUA,November,212794,2019
ACEH,Desember,1597524,2019
SUMATERA UTARA,Desember,5440703,2019
SUMATERA BARAT,Desember,2292513,2019
RIAU,Desember,2087900,2019
JAMBI,Desember,702943,2019
SUMATERA SELATAN,Desember,1575018,2019
BENGKULU,Desember,412683,2019
LAMPUNG,Desember,1871463,2019
KEP. BANGKA BELITUNG,Desember,239683,2019
KEP. RIAU,Desember,448736,2019
DKI JAKARTA,Desember,5290943,2019
JAWA BARAT,Desember,14443528,2019
JAWA TENGAH,Desember,8363789,2019
DI YOGYAKARTA,Desember,1836652,2019
JAWA TIMUR,Desember,8254457,2019
BANTEN,Desember,3633256,2019
BALI,Desember,1571722,2019
NUSA TENGGARA BARAT,Desember,773833,2019
NUSA TENGGARA TIMUR,Desember,768865,2019
KALIMANTAN BARAT,Desember,919685,2019
KALIMANTAN TENGAH,Desember,583207,2019
KALIMANTAN SELATAN,Desember,899515,2019
KALIMANTAN TIMUR,Desember,991646,2019
KALIMANTAN UTARA,Desember,144538,2019
SULAWESI UTARA,Desember,293133,2019
SULAWESI TENGAH,Desember,418240,2019
SULAWESI SELATAN,Desember,2230009,2019
SULAWESI TENGGARA,Desember,580664,2019
GORONTALO,Desember,127908,2019
SULAWESI BARAT,Desember,210792,2019
MALUKU,Desember,243228,2019
MALUKU UTARA,Desember,124114,2019
PAPUA BARAT,Desember,180580,2019
PAPUA,Desember,280181,2019
