provinsi,bulan,jumlah_kunjungan_wisnus,tahun
BALI,Juli,1955513,2023
NUSA TENGGARA BARAT,Juli,1718321,2023
NUSA TENGGARA TIMUR,Juli,494235,2023
KALIMANTAN BARAT,Juli,407292,2023
KALIMANTAN TENGAH,Juli,337424,2023
KALIMANTAN SELATAN,Juli,673975,2023
KALIMANTAN TIMUR,Juli,663800,2023
KALIMANTAN UTARA,Juli,52221,2023
SULAWESI UTARA,Juli,492400,2023
SULAWESI TENGAH,Juli,377459,2023
SULAWESI SELATAN,Juli,2212555,2023
SULAWESI TENGGARA,Juli,838914,2023
GORONTALO,Juli,156871,2023
SULAWESI BARAT,Juli,294755,2023
MALUKU,Juli,77652,2023
MALUKU UTARA,Juli,157597,2023
PAPUA BARAT,Juli,58569,2023
PAPUA,Juli,123085,2023
ACEH,Agustus,618671,2023
SUMATERA UTARA,Agustus,1889717,2023
SUMATERA BARAT,Agustus,1072952,2023
RIAU,Agustus,893939,2023
JAMBI,Agustus,375376,2023
SUMATERA SELATAN,Agustus,867202,2023
BENGKULU,Agustus,199228,2023
LAMPUNG,Agustus,997673,2023
KEP. BANGKA BELITUNG,Agustus,206938,2023
KEP. RIAU,Agustus,180206,2023
DKI JAKARTA,Agustus,4460100,2023
JAWA BARAT,Agustus,11285737,2023
JAWA TENGAH,Agustus,8130358,2023
DI YOGYAKARTA,Agustus,2059153,2023
JAWA TIMUR,Agustus,13539565,2023
BANTEN,Agustus,3255128,2023
BALI,Agustus,1751039,2023
NUSA TENGGARA BARAT,Agustus,1406166,2023
NUSA TENGGARA TIMUR,Agustus,348069,2023
KALIMANTAN BARAT,Agustus,327538,2023
KALIMANTAN TENGAH,Agustus,334553,2023
KALIMANTAN SELATAN,Agustus,520794,2023
KALIMANTAN TIMUR,Agustus,620068,2023
KALIMANTAN UTARA,Agustus,51470,2023
SULAWESI UTARA,Agustus,422694,2023
SULAWESI TENGAH,Agustus,302353,2023
SULAWESI SELATAN,Agustus,1397173,2023
SULAWESI TENGGARA,Agustus,480612,2023
GORONTALO,Agustus,134793,2023
SULAWESI BARAT,Agustus,157794,2023
MALUKU,Agustus,78196,2023
MALUKU UTARA,Agustus,144689,2023
PAPUA BARAT,Agustus,53329,2023
PAPUA,Agustus,114107,2023
ACEH,September,565184,2023
SUMATERA UTARA,September,1847654,2023
SUMATERA BARAT,September,1083013,2023
RIAU,September,866457,2023
JAMBI,September,368132,2023
SUMATERA SELATAN,September,867562,2023
BENGKULU,September,204566,2023
LAMPUNG,September,1030417,2023
KEP. BANGKA BELITUNG,September,188694,2023
KEP. RIAU,September,179288,2023
DKI JAKARTA,September,5547181,2023
JAWA BARAT,September,12562445,2023
JAWA TENGAH,September,8200960,2023
DI YOGYAKARTA,September,2117509,2023
JAWA TIMUR,September,12654730,2023
BANTEN,September,3929704,2023
BALI,September,1747551,2023
NUSA TENGGARA BARAT,September,1254525,2023
